SKU,APORTE,FECHA_INICIO,FECHA_FIN,DEPTO,DPC/WEB,DESCRIPCION,P. TMP,P. AON,%APORTE,DEPARTAMENTO
13266247,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAMSUNG RT51KTPP1/SAM,3074,2924,0.048796357,LINEA BLANCA
13266248,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF SAMSUNG RT51WTPP1/SAM,2766,2616,0.054229935,LINEA BLANCA
13279282,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,COC PRO6400 BSH 24PULG INOX,1359,1259,0.073583517,LINEA BLANCA
13319121,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REF MABE RMT91ZJMAPC0 + MICROONDAS GE JES771PS,2389,2239,0.062787777,LINEA BLANCA
13325639,100,1/2/2021,1/5/2021,D136,S/100 DSCTO EN LINEA BLANCA DESDE 1299 CON TR,REF INDURAMA RI-425 BL QUARZO,1399,1299,0.071479628,LINEA BLANCA
13325645,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,REFRIGERADORA MABE MAO41ZNPNSS0 376 LTS CLEAN STEL,1999,1849,0.075037519,LINEA BLANCA
13327421,31.0222,1/1/2021,1/31/2021,D122,20% DESDE PRECIO MASTER EN PEDS CON TR,THOMAS,310.2222222,279.2,0.1,ELECTRODOMESTICOS
13334122,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVADORA BIANCO 13 KG + MWO AMW83ESB,1695,1545,0.088495575,LINEA BLANCA
13334123,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVADORA BIANCO 13 KG + MWO AMW83EWB,1572,1422,0.095419847,LINEA BLANCA
13334124,150,1/1/2021,1/31/2021,D136,150 DESCUENTO ADICIONAL DESDE 1499 CON TR EN LINEA BLANCA ,LAVADORA HEBA 10.2/5 K +AME610ST,3072,2922,0.048828125,LINEA BLANCA
